pose_0_x,pose_0_y,pose_0_z,pose_1_x,pose_1_y,pose_1_z,pose_2_x,pose_2_y,pose_2_z,pose_3_x,pose_3_y,pose_3_z,pose_4_x,pose_4_y,pose_4_z,pose_5_x,pose_5_y,pose_5_z,pose_6_x,pose_6_y,pose_6_z,pose_7_x,pose_7_y,pose_7_z,pose_8_x,pose_8_y,pose_8_z,pose_9_x,pose_9_y,pose_9_z,pose_10_x,pose_10_y,pose_10_z,pose_11_x,pose_11_y,pose_11_z,pose_12_x,pose_12_y,pose_12_z,pose_13_x,pose_13_y,pose_13_z,pose_14_x,pose_14_y,pose_14_z,pose_15_x,pose_15_y,pose_15_z,pose_16_x,pose_16_y,pose_16_z,pose_17_x,pose_17_y,pose_17_z,pose_18_x,pose_18_y,pose_18_z,pose_19_x,pose_19_y,pose_19_z,pose_20_x,pose_20_y,pose_20_z,pose_21_x,pose_21_y,pose_21_z,pose_22_x,pose_22_y,pose_22_z,pose_23_x,pose_23_y,pose_23_z,pose_24_x,pose_24_y,pose_24_z,pose_25_x,pose_25_y,pose_25_z,pose_26_x,pose_26_y,pose_26_z,pose_27_x,pose_27_y,pose_27_z,pose_28_x,pose_28_y,pose_28_z,pose_29_x,pose_29_y,pose_29_z,pose_30_x,pose_30_y,pose_30_z,pose_31_x,pose_31_y,pose_31_z,pose_32_x,pose_32_y,pose_32_z
0.00759,0.60266,-0.34156,0.02437,0.62556,-0.33187,0.02578,0.62471,-0.31973,0.02531,0.62491,-0.32431,0.00075,0.63706,-0.34833,0.00079,0.63469,-0.36117,0.00638,0.62125,-0.34131,0.07167,0.62128,-0.22165,-0.07027,0.57861,-0.24385,0.03871,0.59576,-0.28893,0.00156,0.56211,-0.32047,0.16156,0.45831,-0.08651,-0.14112,0.51513,-0.09168,0.20754,0.2498,-0.04668,-0.18787,0.2227,-0.12775,0.21974,0.01857,-0.01392,-0.17437,0.00067,-0.18317,0.21002,-0.0354,-0.0056,-0.14962,-0.05091,-0.22732,0.17517,-0.04893,-0.03016,-0.10272,-0.03428,-0.24323,0.20936,-0.01583,-0.02041,-0.15364,-0.00672,-0.19802,0.09417,-0.00133,0.04457,-0.0916,0.00401,-0.04322,0.1206,-0.39436,0.07115,-0.05365,-0.3056,-0.0089,0.10795,-0.6729,0.28325,-0.11037,-0.64168,0.20161,0.08851,-0.70371,0.30819,-0.11482,-0.67074,0.18027,0.13942,-0.7437,0.26409,-0.09392,-0.70449,0.09492
0.00862,0.60103,-0.33972,0.02524,0.62435,-0.33071,0.02653,0.62354,-0.31865,0.02608,0.62381,-0.32331,0.00189,0.63606,-0.34736,0.00175,0.63361,-0.36021,0.00749,0.62015,-0.34028,0.07167,0.62137,-0.22133,-0.06858,0.57856,-0.24385,0.03932,0.59532,-0.28727,0.00273,0.56147,-0.31891,0.16143,0.46035,-0.08605,-0.1392,0.51662,-0.09449,0.20809,0.25229,-0.04746,-0.18374,0.22268,-0.14116,0.22838,0.02068,-0.01605,-0.17089,0.00065,-0.2017,0.22166,-0.03179,-0.00797,-0.14834,-0.05038,-0.24908,0.18654,-0.04673,-0.03265,-0.10087,-0.03398,-0.26358,0.21927,-0.01407,-0.02251,-0.15091,-0.00675,-0.21634,0.09346,-0.00124,0.04536,-0.09082,0.00394,-0.04399,0.11968,-0.3902,0.08346,-0.0564,-0.30792,-0.00944,0.10866,-0.67419,0.28575,-0.10913,-0.64247,0.20162,0.08954,-0.70568,0.31008,-0.11335,-0.67131,0.18031,0.14817,-0.74295,0.27061,-0.09413,-0.70574,0.10332
0.00934,0.59619,-0.3402,0.02565,0.61977,-0.33152,0.02688,0.61882,-0.31947,0.02642,0.61918,-0.32416,0.00229,0.63129,-0.34814,0.00207,0.62876,-0.36099,0.0079,0.6153,-0.34101,0.0717,0.62058,-0.22244,-0.06816,0.57606,-0.24515,0.0401,0.59254,-0.28776,0.00374,0.55804,-0.31926,0.16141,0.46091,-0.08655,-0.13709,0.51661,-0.09753,0.20489,0.25233,-0.04875,-0.18035,0.22018,-0.14484,0.22798,0.02066,-0.01612,-0.16521,-0.00182,-0.20403,0.22136,-0.0318,-0.00799,-0.143,-0.052,-0.25169,0.18596,-0.04676,-0.03266,-0.09484,-0.03543,-0.26612,0.219,-0.01412,-0.02253,-0.14529,-0.00928,-0.21857,0.09302,-0.00116,0.04544,-0.09036,0.00386,-0.04408,0.11946,-0.38817,0.08554,-0.05683,-0.30934,-0.00924,0.10963,-0.67542,0.28575,-0.10499,-0.64246,0.20407,0.09083,-0.70749,0.31006,-0.10879,-0.67124,0.18316,0.15191,-0.74227,0.2708,-0.09394,-0.70526,0.11252
0.00914,0.59626,-0.33749,0.02507,0.62005,-0.3291,0.0262,0.61913,-0.31704,0.0258,0.61949,-0.32188,0.00187,0.63158,-0.34641,0.00157,0.62899,-0.35933,0.00744,0.61552,-0.33933,0.06795,0.62186,-0.2206,-0.06933,0.57642,-0.24514,0.03933,0.59289,-0.28492,0.0033,0.55822,-0.31735,0.15631,0.46379,-0.08383,-0.13769,0.51739,-0.10032,0.2023,0.25632,-0.0469,-0.18073,0.22026,-0.15276,0.22535,0.02357,-0.01524,-0.16519,-0.00161,-0.20998,0.21874,-0.02848,-0.00719,-0.14296,-0.05096,-0.25806,0.18278,-0.04426,-0.03162,-0.09459,-0.03449,-0.27109,0.21645,-0.01145,-0.02155,-0.1453,-0.00899,-0.22391,0.09233,-0.00097,0.04692,-0.08967,0.00371,-0.04553,0.11696,-0.38519,0.09355,-0.05682,-0.31057,-0.00924,0.10709,-0.67538,0.29243,-0.10508,-0.64278,0.20559,0.08802,-0.70747,0.31658,-0.109,-0.67147,0.18504,0.15154,-0.74161,0.2805,-0.09387,-0.70668,0.11686
0.00774,0.5962,-0.33753,0.02344,0.62005,-0.32913,0.02446,0.61915,-0.31707,0.02408,0.6195,-0.32191,0.00029,0.63161,-0.34645,-6e-05,0.62902,-0.35937,0.00588,0.61555,-0.33937,0.06546,0.62192,-0.22081,-0.07088,0.57644,-0.2458,0.03764,0.59284,-0.28497,0.00186,0.5582,-0.31738,0.15333,0.46493,-0.08384,-0.13844,0.51767,-0.10225,0.2005,0.25723,-0.04695,-0.18146,0.22015,-0.15416,0.22113,0.02556,-0.01536,-0.16496,-0.00152,-0.21114,0.21332,-0.02619,-0.00739,-0.14218,-0.05039,-0.25923,0.1774,-0.04155,-0.03167,-0.09362,-0.03336,-0.27195,0.21205,-0.00931,-0.0216,-0.14497,-0.00874,-0.22487,0.0919,-0.00075,0.04751,-0.08926,0.00348,-0.04611,0.11693,-0.38368,0.09406,-0.0568,-0.31129,-0.00901,0.1068,-0.673,0.29544,-0.10513,-0.64255,0.21178,0.08765,-0.70516,0.31997,-0.1091,-0.67109,0.19226,0.15109,-0.73795,0.2845,-0.09311,-0.70667,0.12477
0.00777,0.59613,-0.33608,0.02334,0.62005,-0.32786,0.02433,0.61915,-0.31581,0.02395,0.61949,-0.32067,0.00023,0.63159,-0.34564,-0.00016,0.62898,-0.35855,0.00582,0.6155,-0.33858,0.06352,0.62225,-0.21934,-0.07189,0.57643,-0.24587,0.03752,0.59286,-0.28323,0.00182,0.55815,-0.31628,0.14987,0.46724,-0.08104,-0.13893,0.51779,-0.10331,0.19332,0.26001,-0.04113,-0.18188,0.21965,-0.15356,0.21354,0.02766,-0.00614,-0.16376,-0.00155,-0.20979,0.20513,-0.02357,0.00312,-0.14017,-0.05001,-0.25742,0.17183,-0.03935,-0.02045,-0.09129,-0.03282,-0.27078,0.20541,-0.00721,-0.01181,-0.14381,-0.00871,-0.2238,0.09139,-0.00059,0.04838,-0.08877,0.00331,-0.04696,0.11693,-0.38294,0.09465,-0.0561,-0.31302,-0.00828,0.10672,-0.67084,0.29977,-0.10506,-0.64194,0.21746,0.08756,-0.70294,0.32484,-0.10914,-0.67017,0.19853,0.1509,-0.73395,0.29164,-0.09152,-0.70616,0.13168
0.00786,0.59608,-0.33506,0.02328,0.62003,-0.32691,0.02424,0.61915,-0.31486,0.02388,0.61947,-0.31973,0.00016,0.63152,-0.34492,-0.00026,0.62888,-0.35781,0.00573,0.61539,-0.33786,0.06278,0.62253,-0.21815,-0.07258,0.57618,-0.24583,0.03752,0.59287,-0.28196,0.00182,0.55806,-0.31522,0.14872,0.46843,-0.07847,-0.13895,0.51787,-0.10415,0.18734,0.26147,-0.03617,-0.18197,0.21964,-0.15275,0.20803,0.02825,0.00345,-0.16252,-0.00149,-0.20933,0.19937,-0.02223,0.01448,-0.13853,-0.04876,-0.25676,0.16908,-0.03843,-0.00887,-0.08927,-0.03157,-0.26969,0.20108,-0.00654,-0.00182,-0.14274,-0.00847,-0.22277,0.09096,-0.00057,0.04883,-0.08838,0.0033,-0.04737,0.11699,-0.38301,0.09544,-0.05605,-0.31569,-0.00544,0.10848,-0.66972,0.30372,-0.10505,-0.64023,0.2239,0.08965,-0.70171,0.32928,-0.10919,-0.66782,0.2053,0.15491,-0.7324,0.29882,-0.09053,-0.70476,0.13967
0.00874,0.59612,-0.33079,0.02351,0.62006,-0.32242,0.02446,0.6192,-0.31039,0.0241,0.61951,-0.31526,0.00043,0.63155,-0.34109,-4e-05,0.62892,-0.35392,0.006,0.61543,-0.33403,0.06234,0.62289,-0.21343,-0.07286,0.57611,-0.24456,0.03779,0.59309,-0.2775,0.00222,0.55809,-0.31149,0.14757,0.46949,-0.07351,-0.13897,0.51788,-0.10404,0.18405,0.26248,-0.02884,-0.18165,0.21932,-0.15223,0.20392,0.02852,0.01289,-0.15995,-0.00147,-0.20739,0.19475,-0.02165,0.02509,-0.13575,-0.04805,-0.25543,0.16625,-0.03799,0.00175,-0.0867,-0.03075,-0.26699,0.19749,-0.00621,0.00773,-0.14062,-0.00837,-0.22027,0.09062,-0.00049,0.04919,-0.08806,0.00322,-0.0477,0.11845,-0.38263,0.0952,-0.05576,-0.3167,-0.00495,0.11185,-0.66759,0.30458,-0.10374,-0.63839,0.22575,0.0934,-0.69942,0.33029,-0.10794,-0.66555,0.20716,0.1616,-0.72888,0.30142,-0.088,-0.70205,0.14182
0.00896,0.59616,-0.32994,0.02363,0.62008,-0.32157,0.02454,0.61923,-0.30955,0.02418,0.61953,-0.31436,0.00048,0.63156,-0.33998,0.0,0.62892,-0.35275,0.00605,0.61542,-0.3329,0.06244,0.6229,-0.21263,-0.07286,0.57595,-0.24301,0.03799,0.59312,-0.2767,0.00239,0.55808,-0.31022,0.14777,0.4696,-0.07295,-0.13859,0.51787,-0.10376,0.18343,0.26243,-0.02909,-0.18096,0.21932,-0.14993,0.19866,0.02849,0.01317,-0.15913,-0.00086,-0.20322,0.18809,-0.02157,0.02544,-0.1349,-0.04584,-0.25183,0.16134,-0.03773,0.00218,-0.08595,-0.02849,-0.26289,0.19237,-0.00614,0.00809,-0.13997,-0.00737,-0.21602,0.09061,-0.00046,0.04919,-0.08805,0.00319,-0.04769,0.12184,-0.38268,0.09506,-0.05507,-0.31886,-0.00227,0.1196,-0.66631,0.30409,-0.10029,-0.63775,0.23029,0.10155,-0.69793,0.3298,-0.10419,-0.66469,0.21178,0.16675,-0.72905,0.30037,-0.0829,-0.70206,0.14589
0.00898,0.59613,-0.3298,0.02362,0.62002,-0.32149,0.02452,0.61918,-0.30946,0.02416,0.61946,-0.31425,0.00044,0.63149,-0.33976,-6e-05,0.62882,-0.35252,0.006,0.61531,-0.33267,0.06245,0.62284,-0.21271,-0.07299,0.57561,-0.24284,0.038,0.5931,-0.27665,0.0024,0.55795,-0.30996,0.14786,0.46952,-0.07306,-0.1386,0.51774,-0.10369,0.18249,0.26208,-0.02945,-0.17996,0.21926,-0.14964,0.19081,0.02751,0.01273,-0.15766,-0.00053,-0.20302,0.17811,-0.02204,0.02537,-0.13352,-0.04429,-0.2514,0.15142,-0.03797,0.0023,-0.08476,-0.02697,-0.26269,0.18414,-0.00673,0.00777,-0.13886,-0.00676,-0.21579,0.09057,-0.00045,0.04894,-0.08803,0.00318,-0.04741,0.1227,-0.38273,0.0924,-0.05497,-0.31963,0.00064,0.12349,-0.66417,0.30215,-0.09908,-0.63676,0.23061,0.10581,-0.69535,0.328,-0.10303,-0.66354,0.21167,0.17004,-0.72796,0.29951,-0.08283,-0.70081,0.14533
0.00948,0.59615,-0.32957,0.02373,0.62004,-0.32127,0.02459,0.6192,-0.30922,0.02423,0.61948,-0.31399,0.00051,0.63147,-0.33954,-1e-05,0.62879,-0.3523,0.00606,0.61528,-0.33245,0.06237,0.62307,-0.21244,-0.07316,0.57522,-0.24279,0.03835,0.59321,-0.2764,0.00275,0.55795,-0.30972,0.14797,0.47009,-0.07291,-0.13846,0.51773,-0.10383,0.18085,0.26221,-0.0281,-0.17917,0.21932,-0.14937,0.18857,0.02771,0.01807,-0.1562,0.00034,-0.2027,0.17567,-0.02158,0.03146,-0.13206,-0.04242,-0.25096,0.14975,-0.03713,0.00843,-0.08329,-0.02506,-0.26237,0.18203,-0.00637,0.01326,-0.13752,-0.0056,-0.21556,0.09056,-0.00042,0.04893,-0.08804,0.00316,-0.04738,0.12375,-0.38297,0.09267,-0.0547,-0.32057,0.00278,0.12547,-0.66336,0.30689,-0.09658,-0.63461,0.23603,0.10787,-0.69451,0.33349,-0.10025,-0.66106,0.21751,0.17155,-0.7281,0.30631,-0.08028,-0.69984,0.15197
